seed,stimulus,P026,P088,P4026A,P902,P022A,P067,P089,P097,P098,P106,P027,P060,P064,P301,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10
918544591,Tableau,6,7,7,2,6,6,7,7,6,7,6,7,7,7,7,6,7,7,7,7,6,7,5,4,4,5,5,4,4,5,5,5
553805631,Power BI,6,6,5,2,6,5,6,6,6,6,6,6,5,6,7,7,7,7,7,7,7,7,5,2,5,2,4,2,5,2,4,2
2110824156,Power BI,6,6,6,2,6,6,6,6,6,6,6,7,6,7,6,6,6,6,5,5,5,5,4,2,4,2,4,2,3,2,4,3
1803798191,Power BI,5,4,5,2,5,4,6,6,6,5,6,6,5,7,6,5,6,5,6,6,2,6,2,4,3,3,2,3,2,4,2,2
160325607,Power BI,6,6,6,2,6,6,6,6,6,7,7,6,6,7,6,5,7,6,5,6,6,6,5,2,4,1,5,2,3,2,5,4
596948835,Tableau,5,6,6,2,5,5,5,6,7,7,6,5,6,7,6,6,6,7,7,6,6,6,4,2,5,1,5,2,5,1,5,1
381177351,Power BI,6,6,5,2,6,6,7,6,6,6,7,7,6,7,7,4,7,6,7,7,6,4,5,2,4,3,4,2,3,2,4,4
896039418,Power BI,5,6,5,2,5,5,7,6,6,6,6,5,6,7,6,6,7,6,5,6,5,5,4,2,4,2,4,2,4,2,4,3
1576002137,Power BI,5,5,5,2,6,6,6,6,6,6,6,6,6,6,7,6,7,6,6,7,6,6,4,2,4,3,4,2,3,2,4,3
1089403654,Tableau,6,6,6,2,6,7,6,6,6,7,7,7,6,6,6,6,6,6,5,6,6,6,4,1,4,2,5,1,4,1,5,3
1714315212,Power BI,6,6,6,2,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,6,6,5,2,5,1,5,1,5,1,5,1
457056357,Power BI,3,4,2,2,4,5,4,5,6,6,5,4,3,6,4,3,5,4,3,4,2,3,2,3,2,2,3,2,1,4,3,4
1660664264,Power BI,3,2,2,2,5,5,4,5,4,5,4,3,5,5,5,3,3,2,1,2,2,4,3,4,3,3,3,4,3,3,2,4
1583341806,Power BI,3,5,3,2,7,5,7,7,6,6,7,5,3,6,5,4,7,3,6,5,4,6,2,4,3,4,5,2,1,3,2,5
2136415170,Power BI,5,5,5,2,6,6,7,7,7,7,7,7,7,7,7,6,7,6,5,6,6,6,4,2,4,4,4,2,2,3,4,2
2126977592,Power BI,5,5,5,2,5,5,6,5,5,6,5,4,5,4,5,5,6,5,4,5,6,6,3,4,3,4,4,3,2,3,3,5
85274297,Power BI,6,6,7,2,6,6,6,5,6,7,5,6,4,6,7,6,7,7,4,5,5,6,4,4,5,2,4,1,4,2,4,3
894914305,Power BI,6,6,5,2,7,7,7,7,7,7,6,6,7,5,6,5,6,5,7,7,4,5,5,2,4,2,4,1,3,1,3,3
1930997507,Data Studio,7,6,6,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,1,5,2,4,1,4,4,3,2
1530389380,Power BI,5,6,6,2,6,6,6,6,6,7,7,6,7,7,6,5,6,6,7,7,7,6,5,2,4,2,4,2,4,1,5,3
539459298,Power BI,6,6,4,2,6,2,5,4,6,6,6,7,5,7,6,5,7,7,7,7,7,5,4,1,4,3,4,1,3,1,4,1
1647639038,Excel,6,7,7,2,7,5,7,6,7,7,6,6,4,7,6,7,6,7,4,4,4,4,4,1,5,1,4,1,4,1,4,2
1654473888,Power BI,7,6,6,2,6,6,6,7,6,7,5,6,4,6,6,6,6,7,5,7,6,6,4,2,4,2,3,3,4,3,4,4
1046282114,Power BI,5,6,6,2,7,5,6,6,6,6,6,6,7,6,5,5,5,5,3,3,4,4,4,2,5,2,4,2,3,2,4,2
1355940705,Data Studio,5,5,6,2,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,6,5,4,4,2,4,3,4,2,4,2,4,3
7549886,Power BI,7,6,6,2,7,6,7,6,6,7,7,6,6,7,7,6,7,6,5,6,4,5,5,2,5,1,4,2,4,1,5,3
1002747943,Tableau,6,7,6,2,6,5,6,6,6,6,6,7,7,6,6,6,7,6,6,6,4,5,4,1,4,2,4,1,3,1,4,3
1066929673,Qlik,5,6,4,2,6,6,7,6,6,7,7,6,7,6,6,5,6,7,1,6,6,4,4,2,5,5,4,4,5,3,4,4
529791368,AWS QuickSight,6,6,7,2,7,6,6,7,6,7,7,1,6,7,7,7,7,7,7,7,1,1,5,1,5,1,5,1,5,1,5,5
1815598325,Tableau,6,7,4,2,6,6,6,7,7,7,7,6,6,7,7,7,7,7,6,7,7,7,5,1,5,1,5,1,5,1,5,1
248908595,Data Studio,6,6,6,2,6,6,6,6,6,6,6,7,5,6,5,4,6,5,5,7,5,5,4,1,3,2,3,2,2,2,4,2
600413626,Tableau,7,6,7,2,5,6,7,6,6,7,6,6,7,7,7,6,7,7,7,7,7,7,5,2,4,2,5,1,5,1,5,3
1486961530,Data Studio,6,6,6,2,6,6,6,6,6,6,6,6,5,6,6,6,6,7,4,6,6,3,4,2,4,2,4,2,4,3,4,2
1200836915,Tableau,5,5,4,2,5,7,6,6,6,6,6,5,6,6,5,5,5,3,5,6,4,5,4,2,4,4,4,2,4,2,4,3
1090871892,JMP,7,7,7,2,6,6,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,5,1,5,1,5,1,4,1,5,2
865186315,Data Studio,7,6,6,2,5,6,6,6,7,7,7,7,6,7,7,7,6,7,6,6,6,5,4,3,5,5,5,2,4,1,5,2
1812549497,AWS QuickSight,7,7,6,7,6,6,5,6,6,5,6,5,6,6,4,5,5,4,4,5,5,4,3,2,3,2,3,3,2,2,3,3
974692653,Tableau,5,6,6,2,7,5,7,6,6,6,6,7,7,7,5,6,6,5,5,7,6,5,5,1,4,1,4,1,2,1,4,3
14967956,Tableau,6,7,7,7,7,7,6,6,7,7,6,7,7,7,7,6,7,7,6,6,7,7,5,4,4,3,4,2,3,2,4,4
1788360479,Data Studio,6,5,6,2,6,6,5,6,6,7,6,6,6,7,6,6,7,6,5,4,4,5,4,1,4,1,5,1,4,1,4,2
1870707804,Datawrapper,6,6,7,2,6,5,7,6,6,6,6,6,4,6,6,6,6,7,5,5,5,2,4,1,5,1,4,2,3,2,4,1
126901897,Tableau,6,6,6,2,5,7,6,6,7,6,7,7,7,7,6,6,6,6,7,7,5,6,4,1,4,1,4,1,4,1,4,2
796883701,Tableau,5,5,5,2,6,6,6,6,6,6,6,6,6,7,6,6,7,6,7,7,6,7,4,2,4,3,4,3,3,4,4,2
435668131,Tableau,5,6,5,2,6,5,6,5,6,6,5,6,5,6,6,5,6,6,5,6,5,5,4,2,4,2,4,2,4,2,4,2
388616482,Tableau,5,6,4,2,7,3,6,5,6,7,7,3,5,6,4,6,5,4,5,5,6,6,4,2,3,2,4,3,2,4,5,5
1939793210,Data Studio,6,4,5,2,5,3,6,7,6,6,6,7,6,5,6,4,5,3,4,7,5,7,4,3,4,5,3,4,3,4,3,4
444273974,Data Studio,5,6,5,2,7,5,7,7,7,7,6,5,7,7,7,5,7,5,4,5,3,3,5,3,4,2,3,2,4,1,5,2
47087977,Data Studio,5,5,4,2,5,4,5,4,5,2,4,5,5,5,5,3,5,5,4,6,4,5,3,2,4,3,3,2,4,2,4,3
97089834,Tableau,3,3,4,2,6,5,5,6,6,7,6,6,5,7,6,5,7,5,4,4,6,5,5,3,4,3,4,2,3,2,4,3
579571523,Data Studio,5,5,5,2,5,5,5,5,6,6,5,6,6,6,6,5,6,6,5,6,5,4,3,3,3,2,3,1,3,2,3,3
1700667087,Tableau,3,5,6,2,6,6,7,4,6,5,6,7,7,7,6,6,6,7,6,5,6,7,4,1,4,3,4,4,5,1,4,3
1148690733,Data Studio,6,6,5,2,5,5,7,5,6,6,4,4,4,4,5,6,6,6,3,4,4,4,3,2,4,3,4,2,3,2,4,3
